sweep,energy_per_spin,abs_magnetization_per_spin
238,-1.5312500000,0.8125000000
239,-1.5937500000,0.7890625000
240,-1.6875000000,0.8515625000
241,-1.6406250000,0.8593750000
242,-1.7031250000,0.9218750000
243,-1.8437500000,0.9609375000
244,-1.9375000000,0.9843750000
245,-1.8281250000,0.9531250000
246,-1.8593750000,0.9609375000
247,-1.8750000000,0.9687500000
248,-1.7968750000,0.9375000000
249,-1.7187500000,0.9140625000
250,-1.6718750000,0.8984375000
251,-1.7656250000,0.9375000000
252,-1.8437500000,0.9453125000
253,-1.6718750000,0.8750000000
254,-1.6250000000,0.8593750000
255,-1.7968750000,0.9453125000
256,-1.6406250000,0.8984375000
257,-1.7500000000,0.9296875000
258,-1.7812500000,0.9375000000
259,-1.7968750000,0.9296875000
260,-1.7812500000,0.9218750000
261,-1.7500000000,0.9375000000
262,-1.5625000000,0.8671875000
263,-1.5000000000,0.8281250000
264,-1.6406250000,0.8671875000
265,-1.7343750000,0.9140625000
266,-1.6718750000,0.8984375000
267,-1.8593750000,0.9531250000
268,-1.8750000000,0.9687500000
269,-1.9218750000,0.9765625000
270,-1.7500000000,0.9296875000
271,-1.7968750000,0.9453125000
272,-1.7968750000,0.9453125000
273,-1.8125000000,0.9453125000
274,-1.7968750000,0.9375000000
275,-1.7656250000,0.9218750000
276,-1.9062500000,0.9687500000
277,-1.8750000000,0.9687500000
278,-1.7500000000,0.9062500000
279,-1.8281250000,0.9140625000
280,-1.7968750000,0.9140625000
281,-1.5781250000,0.8359375000
282,-1.5781250000,0.8359375000
283,-1.5781250000,0.7812500000
284,-1.5312500000,0.7968750000
285,-1.3437500000,0.7187500000
286,-1.7187500000,0.8437500000
287,-1.6562500000,0.8750000000
288,-1.6718750000,0.9140625000
289,-1.6875000000,0.9140625000
290,-1.6718750000,0.8437500000
291,-1.6875000000,0.8515625000
292,-1.7187500000,0.9218750000
293,-1.6562500000,0.8906250000
294,-1.7343750000,0.9062500000
295,-1.8125000000,0.9531250000
296,-1.7812500000,0.9296875000
297,-1.7968750000,0.9453125000
298,-1.7500000000,0.8750000000
299,-1.6093750000,0.8750000000
300,-1.6875000000,0.8906250000
301,-1.8593750000,0.9609375000
302,-1.8437500000,0.9531250000
303,-1.9375000000,0.9843750000
304,-1.8281250000,0.9531250000
305,-1.7031250000,0.9140625000
306,-1.7187500000,0.9062500000
307,-1.8281250000,0.9375000000
308,-1.6718750000,0.9062500000
309,-1.7343750000,0.8984375000
310,-1.7812500000,0.9375000000
311,-1.9375000000,0.9843750000
312,-1.8750000000,0.9687500000
313,-1.8593750000,0.9531250000
314,-1.6406250000,0.8906250000
315,-1.8125000000,0.9375000000
316,-1.8906250000,0.9687500000
317,-1.8281250000,0.9453125000
318,-1.8125000000,0.9218750000
319,-1.7656250000,0.9218750000
320,-1.7187500000,0.9140625000
321,-1.8750000000,0.9687500000
322,-1.9218750000,0.9687500000
323,-1.7812500000,0.9453125000
324,-1.8437500000,0.9609375000
325,-1.8593750000,0.9609375000
326,-1.9375000000,0.9687500000
327,-1.8125000000,0.9453125000
328,-1.8906250000,0.9687500000
329,-1.8750000000,0.9687500000
330,-1.8281250000,0.9531250000
331,-1.6875000000,0.8593750000
332,-1.6406250000,0.7890625000
333,-1.6093750000,0.7890625000
334,-1.4375000000,0.6718750000
335,-1.5312500000,0.6718750000
336,-1.4531250000,0.6640625000
337,-1.5312500000,0.7656250000
338,-1.7343750000,0.9140625000
339,-1.8593750000,0.9609375000
340,-1.7656250000,0.9296875000
341,-1.8281250000,0.9453125000
342,-1.8125000000,0.9453125000
343,-1.8281250000,0.9453125000
344,-1.7187500000,0.9140625000
345,-1.8750000000,0.9687500000
346,-1.8750000000,0.9609375000
347,-1.9062500000,0.9765625000
348,-1.8906250000,0.9687500000
349,-1.7656250000,0.9375000000
350,-1.7187500000,0.9218750000
351,-1.7187500000,0.8984375000
352,-1.8125000000,0.9453125000
353,-1.8125000000,0.9531250000
354,-1.8281250000,0.9531250000
355,-1.7500000000,0.9296875000
356,-1.7812500000,0.9453125000
357,-1.6875000000,0.8984375000
358,-1.7656250000,0.9218750000
359,-1.7968750000,0.9375000000
360,-1.7031250000,0.9062500000
361,-1.6562500000,0.8906250000
362,-1.7500000000,0.9218750000
363,-1.9062500000,0.9765625000
364,-1.7812500000,0.9375000000
365,-1.8281250000,0.9531250000
366,-1.6562500000,0.8828125000
367,-1.5312500000,0.8046875000
368,-1.5156250000,0.7187500000
369,-1.6250000000,0.7812500000
370,-1.6406250000,0.7890625000
371,-1.6562500000,0.7500000000
372,-1.6093750000,0.8046875000
373,-1.6406250000,0.8828125000
374,-1.8437500000,0.9375000000
375,-1.6406250000,0.8906250000
376,-1.7812500000,0.9062500000
377,-1.7968750000,0.9375000000
378,-1.8281250000,0.9531250000
379,-1.7656250000,0.9375000000
380,-1.8125000000,0.9453125000
381,-1.7343750000,0.9140625000
382,-1.5937500000,0.8750000000
383,-1.6093750000,0.8203125000
384,-1.6406250000,0.8437500000
385,-1.6875000000,0.9218750000
386,-1.5937500000,0.8281250000
387,-1.6093750000,0.8437500000
388,-1.6093750000,0.8828125000
389,-1.5625000000,0.8046875000
390,-1.4218750000,0.6953125000
391,-1.4375000000,0.6718750000
392,-1.2968750000,0.5625000000
393,-1.3906250000,0.6250000000
394,-1.5312500000,0.7109375000
395,-1.6718750000,0.8437500000
396,-1.7187500000,0.8984375000
397,-1.8125000000,0.9218750000
398,-1.9531250000,0.9843750000
399,-1.8593750000,0.9609375000
400,-1.8125000000,0.9375000000
401,-1.8125000000,0.9453125000
402,-1.7812500000,0.9375000000
403,-1.7812500000,0.9296875000
404,-1.7031250000,0.8984375000
405,-1.7343750000,0.9218750000
406,-1.7812500000,0.9375000000
407,-1.8125000000,0.9531250000
408,-1.7187500000,0.9062500000
409,-1.7343750000,0.9062500000
410,-1.8125000000,0.9453125000
411,-1.7812500000,0.9375000000
412,-1.7656250000,0.9375000000
413,-1.7812500000,0.9375000000
414,-1.7812500000,0.9453125000
415,-1.8125000000,0.9531250000
416,-1.8281250000,0.9531250000
417,-1.7968750000,0.9140625000
418,-1.6875000000,0.9140625000
419,-1.8125000000,0.9531250000
420,-1.7968750000,0.9296875000
421,-1.7812500000,0.9296875000
422,-1.8593750000,0.9375000000
423,-1.6250000000,0.8906250000
424,-1.6718750000,0.8906250000
425,-1.6406250000,0.8828125000
426,-1.7500000000,0.9375000000
427,-1.8125000000,0.9453125000
428,-1.8281250000,0.9531250000
429,-1.8593750000,0.9609375000
430,-1.7968750000,0.9375000000
431,-1.8281250000,0.9375000000
432,-1.7968750000,0.9296875000
433,-1.7343750000,0.8750000000
434,-1.6875000000,0.8437500000
435,-1.5156250000,0.7265625000
436,-1.3593750000,0.6562500000
437,-1.3906250000,0.7578125000
438,-1.8593750000,0.9609375000
439,-1.7968750000,0.9453125000
440,-1.8906250000,0.9687500000
441,-1.7968750000,0.9453125000
442,-1.6406250000,0.8828125000
443,-1.8593750000,0.9609375000
444,-1.7968750000,0.9375000000
445,-1.8750000000,0.9453125000
446,-1.9062500000,0.9765625000
447,-1.8281250000,0.9531250000
448,-1.8437500000,0.9531250000
449,-1.7968750000,0.9453125000
450,-1.8125000000,0.9453125000
451,-1.7968750000,0.9375000000
452,-1.8281250000,0.9531250000
453,-1.8125000000,0.9531250000
454,-1.8125000000,0.9296875000
455,-1.7187500000,0.9218750000
456,-1.8906250000,0.9687500000
457,-1.8750000000,0.9687500000
458,-1.9218750000,0.9765625000
459,-1.9062500000,0.9765625000
460,-1.6406250000,0.8437500000
461,-1.6875000000,0.9218750000
462,-1.7187500000,0.9062500000
463,-1.7656250000,0.9140625000
464,-1.9062500000,0.9765625000
465,-1.8281250000,0.9531250000
466,-1.7187500000,0.8828125000
467,-1.6406250000,0.8828125000
468,-1.7656250000,0.9218750000
469,-1.7187500000,0.9218750000
470,-1.7031250000,0.8984375000
471,-1.8125000000,0.9375000000
472,-1.7968750000,0.9453125000
473,-1.8125000000,0.9453125000
474,-1.7656250000,0.9140625000
475,-1.7968750000,0.9296875000
476,-1.7656250000,0.9296875000
477,-1.8281250000,0.9453125000
478,-1.9375000000,0.9843750000
479,-1.8750000000,0.9687500000
480,-1.6718750000,0.9062500000
481,-1.6718750000,0.9062500000
482,-1.8281250000,0.9453125000
483,-1.8125000000,0.9531250000
484,-1.9062500000,0.9765625000
485,-1.6875000000,0.8984375000
486,-1.6875000000,0.8203125000
487,-1.6250000000,0.8437500000
488,-1.6250000000,0.8750000000
489,-1.7343750000,0.9218750000
490,-1.8281250000,0.9453125000
491,-1.8906250000,0.9687500000
492,-1.7187500000,0.9140625000
493,-1.5937500000,0.8671875000
494,-1.7187500000,0.8984375000
495,-1.6250000000,0.8906250000
496,-1.7656250000,0.9375000000
497,-1.7968750000,0.9296875000
498,-1.7812500000,0.9375000000
499,-1.7656250000,0.9296875000
500,-1.7343750000,0.9218750000
501,-1.7812500000,0.9140625000
502,-1.7500000000,0.9062500000
503,-1.7656250000,0.9296875000
504,-1.7031250000,0.9140625000
505,-1.8437500000,0.9296875000
506,-1.7812500000,0.9453125000
507,-1.8281250000,0.9453125000
508,-1.8750000000,0.9687500000
509,-1.7500000000,0.9140625000
510,-1.7968750000,0.9296875000
511,-1.7656250000,0.9375000000
512,-1.8281250000,0.9375000000
513,-1.7656250000,0.9375000000
514,-1.7500000000,0.9375000000
515,-1.9218750000,0.9765625000
516,-1.7031250000,0.9140625000
517,-1.7812500000,0.9375000000
518,-1.6875000000,0.9062500000
519,-1.5468750000,0.8515625000
520,-1.6718750000,0.8906250000
521,-1.9375000000,0.9843750000
522,-1.8281250000,0.9531250000
523,-1.8906250000,0.9687500000
524,-1.8125000000,0.9296875000
525,-1.7968750000,0.9453125000
526,-1.6875000000,0.8906250000
527,-1.6562500000,0.8906250000
528,-1.8437500000,0.9531250000
529,-1.6562500000,0.8906250000
530,-1.6093750000,0.8281250000
531,-1.5781250000,0.8203125000
532,-1.5937500000,0.8359375000
533,-1.4062500000,0.8125000000
534,-1.6406250000,0.8906250000
535,-1.6406250000,0.8906250000
536,-1.9062500000,0.9765625000
537,-1.7968750000,0.9375000000
538,-1.7500000000,0.9375000000
539,-1.7343750000,0.9062500000
540,-1.7656250000,0.9218750000
541,-1.7968750000,0.9140625000
542,-1.8593750000,0.9531250000
543,-1.7343750000,0.8906250000
544,-1.7812500000,0.9375000000
545,-1.7656250000,0.8984375000
546,-1.6406250000,0.8906250000
547,-1.7968750000,0.9453125000
548,-1.6718750000,0.8984375000
549,-1.6875000000,0.8593750000
550,-1.7500000000,0.9062500000
551,-1.6250000000,0.8828125000
552,-1.7656250000,0.9218750000
553,-1.7656250000,0.9296875000
554,-1.8437500000,0.9531250000
555,-1.7968750000,0.9375000000
556,-1.9218750000,0.9765625000
557,-1.9375000000,0.9843750000
558,-1.8437500000,0.9609375000
559,-1.6875000000,0.9062500000
560,-1.6562500000,0.8593750000
561,-1.7500000000,0.9296875000
562,-1.7812500000,0.9296875000
563,-1.7968750000,0.9218750000
564,-1.7968750000,0.9375000000
565,-1.8437500000,0.9609375000
566,-1.8750000000,0.9687500000
567,-1.9062500000,0.9765625000
568,-1.9218750000,0.9765625000
569,-1.9375000000,0.9843750000
570,-1.6718750000,0.8906250000
571,-1.6718750000,0.8906250000
572,-1.6718750000,0.8750000000
573,-1.5625000000,0.8437500000
574,-1.6718750000,0.8359375000
575,-1.5781250000,0.8593750000
576,-1.7187500000,0.8984375000
577,-1.7343750000,0.9218750000
578,-1.7812500000,0.9453125000
579,-1.9062500000,0.9765625000
580,-1.8281250000,0.9296875000
581,-1.7031250000,0.8984375000
582,-1.9218750000,0.9765625000
583,-1.6718750000,0.8906250000
584,-1.7656250000,0.9218750000
585,-1.9687500000,0.9921875000
586,-1.8125000000,0.9453125000
587,-1.6093750000,0.8828125000
588,-1.6406250000,0.8828125000
589,-1.6562500000,0.8906250000
590,-1.6718750000,0.9062500000
591,-1.7968750000,0.9296875000
592,-1.9687500000,0.9921875000
593,-1.7968750000,0.9375000000
594,-1.8125000000,0.9453125000
