sweep,energy_per_spin,abs_magnetization_per_spin
244,-1.6562500000,0.8984375000
245,-1.7500000000,0.9296875000
246,-1.7031250000,0.9062500000
247,-1.7187500000,0.9140625000
248,-1.8593750000,0.9453125000
249,-1.7656250000,0.9375000000
250,-1.8281250000,0.9531250000
251,-1.8906250000,0.9687500000
252,-1.9218750000,0.9765625000
253,-1.8750000000,0.9687500000
254,-1.8125000000,0.9531250000
255,-1.7500000000,0.9296875000
256,-1.8281250000,0.9375000000
257,-1.8437500000,0.9453125000
258,-1.8125000000,0.9453125000
259,-1.7812500000,0.9218750000
260,-1.7812500000,0.9218750000
261,-1.7343750000,0.8828125000
262,-1.7500000000,0.9140625000
263,-1.6718750000,0.8906250000
264,-1.8750000000,0.9609375000
265,-1.8593750000,0.9609375000
266,-1.8750000000,0.9687500000
267,-1.7343750000,0.9218750000
268,-1.8906250000,0.9687500000
269,-1.7500000000,0.9296875000
270,-1.7500000000,0.9296875000
271,-1.6562500000,0.8984375000
272,-1.6406250000,0.8906250000
273,-1.7187500000,0.8984375000
274,-1.8281250000,0.9531250000
275,-1.7968750000,0.9453125000
276,-1.9218750000,0.9765625000
277,-1.8750000000,0.9609375000
278,-1.7343750000,0.9218750000
279,-1.7031250000,0.9062500000
280,-1.6093750000,0.8281250000
281,-1.5937500000,0.8125000000
282,-1.4531250000,0.7734375000
283,-1.5468750000,0.7968750000
284,-1.5937500000,0.8437500000
285,-1.4218750000,0.7734375000
286,-1.4531250000,0.7500000000
287,-1.4218750000,0.7109375000
288,-1.5000000000,0.8203125000
289,-1.6250000000,0.8828125000
290,-1.6562500000,0.8984375000
291,-1.6250000000,0.8750000000
292,-1.5781250000,0.8750000000
293,-1.6718750000,0.9062500000
294,-1.8593750000,0.9531250000
295,-1.8906250000,0.9687500000
296,-1.8906250000,0.9687500000
297,-1.7343750000,0.9218750000
298,-1.8437500000,0.9453125000
299,-1.8750000000,0.9531250000
300,-1.8125000000,0.9453125000
301,-1.8125000000,0.9453125000
302,-1.9375000000,0.9843750000
303,-1.8593750000,0.9609375000
304,-1.7968750000,0.9453125000
305,-1.8437500000,0.9531250000
306,-1.7031250000,0.8828125000
307,-1.6093750000,0.8203125000
308,-1.5000000000,0.7656250000
309,-1.5625000000,0.8125000000
310,-1.5937500000,0.8750000000
311,-1.7500000000,0.9218750000
312,-1.7968750000,0.9296875000
313,-1.6250000000,0.8984375000
314,-1.6250000000,0.8828125000
315,-1.6406250000,0.8906250000
